(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,57.3716,8,1,
1,60.1297,5,1,
1,61.7626,5,1,
1,62.0518,5,1,
1,62.3134,6,1,
1,62.6813,7,1,
1,62.7101,8,1,
1,65.2804,6,1,
1,65.9028,6,1,
1,66.0607,7,1,
1,66.2692,8,1,
1,66.733,9,1,
1,67.0229,10,1,
1,68.2846,7,1,
1,68.3067,8,1,
1,70.2837,5,1,
1,70.3079,6,1,
1,70.3229,7,1,
1,71.7375,6,1,
1,71.7853,7,1,
1,72.2349,7,1,
1,72.8181,6,1,
1,73.1751,7,1,
1,73.4714,8,1,
1,74.0527,7,1,
1,74.8646,7,1,
1,75.0951,8,1,
1,75.8295,9,1,
1,75.9882,10,1,
1,77.2659,8,1,
1,80.6078,7,1,
1,80.7951,7,1,
1,83.922,7,1,
1,85.5532,6,1,
1,86.7246,6,1,
1,88.2956,4,1,
1,90.2349,5,1,
1,90.8663,6,1,
1,91.983,5,1,
1,93.3024,1,1,
1,94.2305,2,1,
1,94.3875,3,1,
1,95.5459,3,1,
1,95.58,4,1,
1,95.7298,5,1,
1,96.104,5,1,
1,96.6158,4,1,
1,97.0585,5,1,
1,99.1957,6,1,
1,99.9836,7,1,
1,100.04,8,1,
1,100.661,8,1,
1,102.315,7,1,
1,102.981,7,1,
1,103.161,8,1,
1,105.06,9,1,
1,107.319,6,1,
1,107.979,7,1,
1,109.679,6,1,
1,111.945,2,1,
1,112.475,2,1,
1,112.924,1,1,
1,113.604,2,1,
1,114.352,3,1,
1,116.304,1,1,
1,118.44,1,1,
1,119.121,2,1,
1,120.618,2,1,
1,121.721,3,1,
1,122.828,3,1,
1,123.344,4,1,
1,123.459,5,1,
1,123.524,6,1,
1,123.759,7,1,
1,124.336,7,1,
1,124.855,8,1,
1,125.08,9,1,
1,125.423,10,1,
1,127.337,8,1,
1,129.067,6,1,
1,129.853,6,1,
1,129.912,7,1,
1,130.072,7,1,
1,131.16,6,1,
1,131.935,7,1,
1,132.015,8,1,
1,132.48,8,1,
1,133.157,8,1,
1,134.806,9,1,
1,134.896,10,1,
1,135.121,9,1,
1,136.059,10,1,
1,136.522,10,1,
1,137.188,11,1,
1,137.397,11,1,
1,140.82,8,1,
1,143.029,8,1,
1,143.328,9,1,
1,143.77,10,1,
1,144.391,11,1,
1,145.957,8,1,
1,147.763,8,1,
1,148.477,9,1,
1,151.099,7,1,
1,152.156,7,1,
1,152.256,8,1,
1,153.227,8,1,
1,153.845,9,1,
1,154.055,10,1,
1,154.768,11,1,
1,155.384,12,1,
1,155.474,13,1,
1,155.716,13,1,
1,156.765,14,1,
1,156.78,15,1,
1,158.84,14,1,
1,161.392,12,1,
