(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,752.872,73,1,
1,753.809,74,1,
1,755.495,73,1,
1,756.695,72,1,
1,757.416,72,1,
1,759.013,72,1,
1,759.045,73,1,
1,760.34,71,1,
1,761.764,72,1,
1,762.525,71,1,
1,762.736,72,1,
1,763.088,73,1,
1,768.435,72,1,
1,768.666,73,1,
1,769.574,73,1,
1,771.98,69,1,
1,772.17,70,1,
1,772.958,70,1,
1,776.276,70,1,
1,777.144,71,1,
1,778.816,72,1,
1,779.109,73,1,
1,780.641,74,1,
1,783.427,68,1,
1,783.526,69,1,
1,786.323,66,1,
1,786.985,67,1,
1,789.889,65,1,
1,790.27,64,1,
1,792.526,64,1,
1,794.452,60,1,
1,795.099,61,1,
1,796.193,61,1,
1,796.529,62,1,
1,797.433,63,1,
1,798.826,63,1,
1,799.772,63,1,
1,801.045,64,1,
1,803.163,61,1,
1,803.181,62,1,
1,803.378,63,1,
1,807.027,60,1,
1,810.334,56,1,
1,810.786,57,1,
1,811.07,58,1,
1,811.893,58,1,
1,813.629,57,1,
1,816.797,50,1,
1,816.953,51,1,
1,818.246,50,1,
1,819.009,50,1,
1,819.433,50,1,
1,820.408,50,1,
1,821.081,50,1,
1,821.973,51,1,
1,822.154,52,1,
1,822.512,53,1,
1,822.859,54,1,
1,823.331,55,1,
1,824.849,55,1,
1,826.35,55,1,
1,826.632,56,1,
1,828.694,55,1,
1,828.784,56,1,
1,829.107,57,1,
1,833.186,55,1,
1,834.433,55,1,
1,834.457,56,1,
1,834.624,56,1,
1,835.161,55,1,
1,837.233,54,1,
1,837.728,55,1,
1,839.242,54,1,
1,842.35,51,1,
1,842.899,52,1,
1,844.197,50,1,
1,847.253,48,1,
1,850.128,47,1,
1,853.181,45,1,
1,855.098,44,1,
1,855.72,45,1,
1,856.62,46,1,
1,860.545,44,1,
1,860.603,45,1,
1,864.989,41,1,
1,869.185,37,1,
1,870.307,37,1,
1,870.442,38,1,
1,870.459,39,1,
1,870.97,40,1,
1,872.366,39,1,
1,874.507,35,1,
1,874.616,36,1,
1,875.219,37,1,
1,875.613,38,1,
1,876.904,37,1,
1,877.14,38,1,
1,877.387,39,1,
1,877.777,40,1,
1,879.42,38,1,
1,880.104,39,1,
1,880.536,40,1,
1,880.72,40,1,
1,883.143,36,1,
1,883.214,37,1,
1,885.987,36,1,
1,887.957,34,1,
1,889,35,1,
1,890.855,31,1,
1,892.057,31,1,
1,893.914,30,1,
1,895.486,29,1,
1,896.362,29,1,
1,897.98,28,1,
1,900.46,25,1,
1,901.107,25,1,
1,901.43,26,1,
1,905.109,25,1,
1,905.575,26,1,
1,905.83,27,1,
1,906.609,28,1,
1,907.122,28,1,
1,907.665,29,1,
1,907.985,30,1,
1,909.125,28,1,
1,909.858,27,1,
1,910.23,28,1,
1,910.784,28,1,
1,912.991,24,1,
1,913.561,25,1,
1,913.731,26,1,
1,915.457,26,1,
1,915.608,26,1,
1,917.144,25,1,
1,917.66,26,1,
1,919.312,26,1,
1,919.586,27,1,
1,920.226,28,1,
1,920.242,29,1,
1,920.282,30,1,
1,920.977,31,1,
1,921.691,31,1,
1,921.807,32,1,
1,923.621,32,1,
1,923.967,33,1,
1,924.063,33,1,
1,925.022,33,1,
1,925.708,33,1,
1,926.478,33,1,
1,926.587,34,1,
1,927.446,33,1,
1,928.365,33,1,
1,928.928,34,1,
1,929.28,35,1,
1,929.973,36,1,
1,931.813,36,1,
1,932.742,37,1,
1,933.062,38,1,
1,933.145,39,1,
1,933.604,40,1,
1,934.306,41,1,
1,934.316,42,1,
1,936.179,42,1,
1,936.64,43,1,
1,940.439,40,1,
1,942.895,38,1,
1,944.242,37,1,
1,945.453,36,1,
1,947.532,37,1,
1,948.662,37,1,
1,949.702,35,1,
1,949.838,36,1,
1,951.368,36,1,
1,951.572,37,1,
1,953.331,38,1,
1,953.596,39,1,
1,954.063,40,1,
1,954.654,39,1,
1,955.43,40,1,
1,956.052,41,1,
1,956.206,42,1,
1,956.777,43,1,
1,957.717,44,1,
1,958.188,45,1,
1,961.918,41,1,
1,962.111,42,1,
1,963.208,42,1,
1,963.569,42,1,
1,963.782,43,1,
1,963.885,44,1,
1,963.964,45,1,
1,964.176,46,1,
1,964.709,45,1,
1,964.819,46,1,
1,965.701,46,1,
1,968.331,47,1,
1,970.42,47,1,
1,971.592,46,1,
1,972.869,45,1,
1,973.821,45,1,
1,974.547,45,1,
1,975.352,45,1,
1,976.945,46,1,
1,977.455,47,1,
1,978.087,47,1,
1,980.257,42,1,
1,981.41,42,1,
1,985.126,38,1,
1,985.242,39,1,
1,985.909,38,1,
1,986.597,39,1,
1,987.422,39,1,
1,987.781,39,1,
1,988.648,39,1,
1,989.689,38,1,
1,989.788,39,1,
1,990.536,38,1,
1,992.847,39,1,
1,992.95,40,1,
1,992.993,41,1,
1,993.042,42,1,
1,998.595,39,1,
1,998.737,40,1,
1,1001.3,35,1,
1,1001.4,36,1,
1,1004.75,36,1,
1,1005.04,37,1,
1,1006.14,37,1,
1,1006.86,38,1,
1,1008.39,38,1,
1,1009.58,37,1,
1,1011.6,37,1,
1,1011.8,38,1,
1,1012.15,38,1,
1,1012.45,37,1,
1,1013.04,36,1,
1,1014.34,34,1,
1,1016.04,33,1,
1,1017.4,34,1,
1,1017.69,35,1,
1,1017.84,36,1,
1,1018.67,37,1,
1,1018.99,38,1,
(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,0.309162,0,0,
1,0.654303,0,1,
1,1.06521,1,1,
1,1.91701,0,0,
1,2.58078,0,0,
1,3.25078,0,1,
1,3.80944,0,1,
1,4.58742,0,1,
1,5.31109,0,1,
1,7.05829,0,1,
1,10.0954,0,0,
1,11.9842,0,0,
1,12.14,0,1,
1,12.5096,0,1,
1,15.0736,0,0,
1,15.655,0,1,
1,15.8417,1,1,
1,17.4184,2,1,
1,17.5233,3,1,
1,18.2458,4,1,
1,19.0415,4,1,
1,20.5916,4,1,
1,24.2905,4,1,
1,24.7785,5,1,
1,25.1613,4,1,
1,25.726,4,1,
1,28.4947,5,1,
1,28.8095,6,1,
1,28.8543,6,1,
1,29.248,6,1,
1,30.5372,7,1,
1,30.6067,8,1,
1,31.004,6,1,
1,31.4288,6,1,
1,32.0011,7,1,
1,32.4395,8,1,
1,33.2523,8,1,
1,33.3259,9,1,
1,33.4904,10,1,
1,33.767,10,1,
1,36.2268,10,1,
1,39.1119,7,1,
1,40.7082,5,1,
1,41.1665,6,1,
1,42.0496,6,1,
1,44.1171,2,1,
1,44.4245,1,1,
1,44.7204,1,1,
1,45.2184,1,1,
1,46.8386,0,1,
1,47.7066,1,1,
1,48.1497,1,1,
1,48.3746,2,1,
1,48.4186,2,1,
1,49.8823,2,1,
1,50.5388,2,1,
1,50.9109,3,1,
1,51.3,4,1,
1,51.4078,5,1,
1,51.7195,6,1,
1,52.8923,7,1,
1,54.9481,7,1,
1,56.0302,8,1,
1,57.3447,8,1,
1,57.6124,8,1,
1,58.5559,8,1,
1,59.5921,7,1,
1,60.1025,8,1,
1,60.9006,8,1,
1,61.6126,9,1,
1,62.0498,10,1,
1,62.4001,9,1,
1,65.2907,7,1,
1,66.9874,7,1,
1,68.3415,7,1,
